11:00:29 [SESSION] logging to C:\Users\user\Documents\avigilon-ptz-dashboard\backend\logs\session-20260714-110029-7096.log
11:03:27 [VIDEO] capture loop starting, stream_url='rtsp://administrator:123456@169.254.50.189/rtsp/defaultPrimary?streamType=u'
11:03:27 [VIDEO] opening capture: 'rtsp://administrator:123456@169.254.50.189/rtsp/defaultPrimary?streamType=u'
11:03:29 [VIDEO] capture opened successfully
11:03:33 [DETECT] inference took 4.80s
11:03:34 [DETECT] inference took 0.34s
11:03:35 [DETECT] inference took 0.41s
11:03:36 [DETECT] inference took 0.36s
11:03:37 [DETECT] inference took 0.38s
11:03:38 [DETECT] inference took 0.41s
11:03:39 [DETECT] inference took 0.34s
11:03:40 [DETECT] inference took 0.34s
11:03:41 [DETECT] inference took 0.33s
11:03:42 [DETECT] inference took 0.38s
11:03:43 [DETECT] inference took 0.42s
11:03:44 [DETECT] inference took 0.34s
11:03:45 [DETECT] inference took 0.30s
11:03:46 [DETECT] inference took 0.28s
11:03:47 [DETECT] inference took 0.25s
11:03:48 [DETECT] inference took 0.25s
11:03:49 [DETECT] inference took 0.25s
11:03:50 [DETECT] inference took 0.33s
11:03:51 [DETECT] inference took 0.31s
11:03:52 [DETECT] inference took 0.33s
11:03:53 [DETECT] inference took 0.31s
11:03:54 [DETECT] inference took 0.33s
11:03:55 [DETECT] inference took 0.31s
11:03:56 [DETECT] inference took 0.31s
11:03:57 [DETECT] inference took 0.33s
11:03:58 [DETECT] inference took 0.33s
11:03:59 [DETECT] inference took 0.33s
11:04:00 [DETECT] inference took 0.31s
11:04:01 [DETECT] inference took 0.33s
11:04:02 [DETECT] inference took 0.34s
11:04:03 [DETECT] inference took 0.33s
11:04:04 [DETECT] inference took 0.30s
11:04:05 [DETECT] inference took 0.33s
11:04:06 [DETECT] inference took 0.31s
11:04:07 [DETECT] inference took 0.33s
11:04:08 [DETECT] inference took 0.34s
11:04:09 [DETECT] inference took 0.31s
11:04:10 [DETECT] inference took 0.33s
11:04:11 [DETECT] inference took 0.31s
11:04:12 [DETECT] inference took 0.33s
11:04:13 [DETECT] inference took 0.33s
11:04:14 [DETECT] inference took 0.34s
11:04:15 [DETECT] inference took 0.34s
11:04:16 [DETECT] inference took 0.31s
11:04:17 [DETECT] inference took 0.25s
11:04:18 [DETECT] inference took 0.25s
11:04:19 [DETECT] inference took 0.31s
11:04:20 [DETECT] inference took 0.28s
11:04:21 [DETECT] inference took 0.30s
11:04:22 [DETECT] inference took 0.34s
11:04:23 [DETECT] inference took 0.33s
11:04:24 [DETECT] inference took 0.25s
11:04:25 [DETECT] inference took 0.30s
11:04:26 [DETECT] inference took 0.31s
11:04:27 [DETECT] inference took 0.33s
11:04:28 [DETECT] inference took 0.36s
11:04:29 [DETECT] inference took 0.36s
11:04:30 [DETECT] inference took 0.31s
11:04:31 [DETECT] inference took 0.33s
11:04:32 [DETECT] inference took 0.33s
11:04:32 [DETECT] inference took 0.48s
11:04:33 [DETECT] inference took 0.36s
11:04:34 [DETECT] inference took 0.34s
11:04:35 [DETECT] inference took 0.33s
11:04:36 [DETECT] inference took 0.34s
11:04:37 [DETECT] inference took 0.31s
11:04:38 [DETECT] inference took 0.30s
11:04:39 [DETECT] inference took 0.30s
11:04:40 [DETECT] inference took 0.36s
11:04:41 [DETECT] inference took 0.31s
11:04:42 [DETECT] inference took 0.34s
11:04:43 [DETECT] inference took 0.31s
11:04:44 [DETECT] inference took 0.31s
11:04:45 [DETECT] inference took 0.33s
11:04:46 [DETECT] inference took 0.33s
11:04:47 [DETECT] inference took 0.31s
11:04:48 [DETECT] inference took 0.34s
11:04:49 [DETECT] inference took 0.34s
11:04:50 [DETECT] inference took 0.33s
11:04:51 [DETECT] inference took 0.31s
11:04:52 [DETECT] inference took 0.31s
11:04:53 [DETECT] inference took 0.33s
11:04:54 [DETECT] inference took 0.33s
11:04:55 [DETECT] inference took 0.30s
11:04:56 [DETECT] inference took 0.31s
11:04:57 [DETECT] inference took 0.33s
11:04:58 [DETECT] inference took 0.36s
11:04:59 [DETECT] inference took 0.34s
11:05:00 [DETECT] inference took 0.33s
11:05:01 [DETECT] inference took 0.34s
11:05:02 [DETECT] inference took 0.33s
11:05:03 [DETECT] inference took 0.31s
11:05:04 [DETECT] inference took 0.33s
11:05:05 [DETECT] inference took 0.33s
11:05:06 [DETECT] inference took 0.33s
11:05:07 [DETECT] inference took 0.33s
11:05:08 [DETECT] inference took 0.33s
11:05:09 [DETECT] inference took 0.36s
11:05:10 [DETECT] inference took 0.33s
11:05:11 [DETECT] inference took 0.33s
11:05:12 [DETECT] inference took 0.31s
11:05:13 [DETECT] inference took 0.36s
11:05:14 [DETECT] inference took 0.31s
11:05:15 [DETECT] inference took 0.33s
11:05:15 [DETECT] inference took 0.34s
11:05:16 [DETECT] inference took 0.34s
11:05:17 [DETECT] inference took 0.36s
